Gene Synonym	Gene name	Gene type	Gene stable ID	Gene description
0610039C21RIK	PNPLA2	gene	HOM:51870907	MGI
0610039D01RIK	CUTA	gene	HOM:51887065	MGI
0610039E24RIK	HSD17B14	gene	HOM:51874327	MGI
0610039G09RIK	0610039G09RIK	gene	MGI:1922649	MGI
0610039G16RIK	GMFG	gene	HOM:51883430	MGI
0610039G24RIK	TMEM129	gene	HOM:51874646	MGI
0610039H12RIK	HDHD2	gene	HOM:51883067	MGI
0610039H22RIK	0610039H22RIK	gene	MGI:1915647	MGI
0610039J01RIK	TMEM25	gene	HOM:51890478	MGI
0610039J04RIK	SETD6	gene	HOM:51882207	MGI
0610039J17RIK	SQOR	gene	HOM:51875615	MGI
0610039K10RIK	0610039K10RIK	gene	MGI:1915636	MGI
0610039K22RIK	RMND5B	gene	HOM:51884467	MGI
0610039N19RIK	RETSAT	gene	HOM:51878666	MGI
0610039P13RIK	HVCN1	gene	HOM:51884752	MGI
0610040A22RIK	0610040A22RIK	gene	MGI:1915626	MGI
0610040B09RIK	HOXB5OS	gene	MGI:1922645	MGI
0610040B10RIK	0610040B10RIK	gene	MGI:1914922	MGI
0610040B21RIK	TXNDC12	gene	HOM:51882385	MGI
0610040D20RIK	CWC15	gene	HOM:51882632	MGI
0610040E02RIK	MRPL10	gene	HOM:51883238	MGI
0610040F04RIK	0610040F04RIK	gene	MGI:1922644	MGI
0610040H15RIK	ELOB	gene	HOM:51871517	MGI
0610040J01RIK	PGCKA1	gene	HOM:51889495	MGI
0610040O15RIK	MT-ND1	gene	HOM:51877899	MGI
0610041B22RIK	SHARPIN	gene	HOM:51881286	MGI
0610041D19RIK	TJAP1	gene	HOM:51878865	MGI
0610041D24RIK	ABHD6	gene	HOM:51883788	MGI
0610041E09RIK	TMEM167	gene	HOM:51881636	MGI
0610041G09RIK	ACTA2	gene	HOM:51881380	MGI
0610041G12RIK	DIABLO	gene	HOM:51872801	MGI
0610041L09RIK	CHCHD3	gene	HOM:51872257	MGI
0610041O14RIK	XAB2	gene	HOM:51884209	MGI
0610041P13RIK	ACOT9	gene	HOM:51870522	MGI
0610042A05RIK	PGD	gene	HOM:51875155	MGI
0610042B02RIK	0610042B02RIK	gene	MGI:1918938	MGI
0610042B23RIK	0610042B23RIK	gene	MGI:1922652	MGI
0610042C05RIK	RMND1	gene	HOM:51883243	MGI
0610042E07RIK	ISOC2B	gene	HOM:51885487	MGI
0610042E11RIK	0610042E11RIK	gene	MGI:1921345	MGI
0610042G04RIK	0610042G04RIK	gene	MGI:1915630	MGI
0610042H23RIK	ESM1	gene	HOM:51883454	MGI
0610042I06RIK	STK3	gene	HOM:51877886	MGI
0610042I15RIK	YKT6	gene	HOM:51884042	MGI
0610043A03RIK	GCC2	gene	HOM:51887531	MGI
0610043B10RIK	YPEL3	gene	HOM:51871751	MGI
0610043K17RIK	0610043K17RIK	gene	MGI:1915650	MGI
0710001A04RIK	0710001A04RIK	gene	MGI:1915652	MGI
0710001B06RIK	NRGN	gene	HOM:51888929	MGI
0710001B24RIK	DUSP28	gene	HOM:51879095	MGI
0710001C05RIK	ISCA2	gene	HOM:51880570	MGI
0710001D07RIK	0710001D07RIK	gene	MGI:1914929	MGI
0710001E10RIK	C1QTNF4	gene	HOM:51871231	MGI
0710001E13RIK	ARPP21	gene	HOM:51871750	MGI
0710001E19RIK	CHN1	gene	HOM:51870700	MGI
0710001E20RIK	STXBP5	gene	HOM:51879949	MGI
0710001F19RIK	ATP6V1H	gene	HOM:51872314	MGI
0710001G09RIK	GOLGA1	gene	HOM:51884253	MGI
0710001G23RIK	GRM3	gene	HOM:51879787	MGI
0710001K01RIK	G6PC3	gene	HOM:51883678	MGI
0710001L09RIK	0710001L09RIK	gene	MGI:1915664	MGI
0710001O03RIK	FADS1	gene	HOM:51873248	MGI
0710001O20RIK	NDFIP2	gene	HOM:51882038	MGI
0710001P07RIK	CALY	gene	HOM:51886705	MGI
0710001P09RIK	CHCHD6	gene	HOM:51876258	MGI
0710001P18RIK	ANKRD13D	gene	HOM:51885855	MGI
0710005A05RIK	NPY	gene	HOM:51880706	MGI
0710005E20RIK	TIMM44	gene	HOM:51876292	MGI
0710005I19RIK	PNMA8A	gene	HOM:51889562	MGI
0710005I21RIK	0710005I21RIK	gene	MGI:1918942	MGI
0710005K15RIK	RTN1	gene	HOM:51874308	MGI
0710005M05RIK	TRIM35	gene	HOM:51879122	MGI
0710005M24RIK	RALYL	gene	HOM:51878622	MGI
0710005O05RIK	ABCF2	gene	HOM:51870480	MGI
0710007A14RIK	ILKAP	gene	HOM:51883803	MGI
0710007G10RIK	0710007G10RIK	gene	MGI:1915659	MGI
0710007K08RIK	B3GAT1	gene	HOM:51870984	MGI
0710008A13RIK	DCAF11	gene	HOM:51881936	MGI
0710008C04RIK	PARD6A	gene	HOM:51880155	MGI
0710008C12RIK	FBXL15	gene	HOM:51884626	MGI
0710008D09RIK	UQCR11	gene	HOM:51875684	MGI
0710008F09RIK	0710008F09RIK	gene	MGI:1918947	MGI
0710008J23RIK	NRN1	gene	HOM:51872492	MGI
0710008K06RIK	IPO9	gene	HOM:51882343	MGI
0710008K08RIK	NAXD	gene	HOM:51871384	MGI
0710008M05RIK	UBE2J1	gene	HOM:51884222	MGI
0710008N11RIK	SDHB	gene	HOM:51875492	MGI
0710008O11RIK	BRMS1L	gene	HOM:51871147	MGI
0910001A06RIK	CYRIB	gene	HOM:51873961	MGI
