Gene Synonym	Gene name	Gene type	Gene stable ID	Gene description
A2ML1	A2ML1	gene	HGNC:23336	HGNC
A2ML1-AS1	A2ML1-AS1	gene	HGNC:41022	HGNC
A2ML1-AS2	A2ML1-AS2	gene	HGNC:41523	HGNC
A2MP1	PZP2P	gene	HGNC:56245	HGNC
A2MR	LRP1	gene	HOM:51875727	HGNC
A2MRAP	LRPAP1	gene	HOM:51882539	HGNC
A2V	ATP6V0A2	gene	HOM:51879170	HGNC
A3	TCIRG1	gene	HOM:51881138	HGNC
A30	IGKV1-17	gene	HOM:51876593	HGNC
A33	GPA33	gene	HOM:51876072	HGNC
A34.5	POLR1G	gene	HOM:51872155	HGNC
A3A	DAG1	gene	HOM:51872729	HGNC
A3AR	ADORA3	gene	HOM:51870455	HGNC
A3B	SGCB	gene	HOM:51873666	HGNC
A3GALNT	ABO	gene	HOM:51886292	HGNC
A3GALNT	GBGT1	gene	HOM:51870694	HGNC
A3GALT1	ABO	gene	HOM:51886292	HGNC
A3GALT2	A3GALT2	gene	HOM:51886280	HGNC
A3GALT2P	A3GALT2	gene	HOM:51886280	HGNC
A4	ATP6V0A4	gene	HOM:51886486	HGNC
A4	IGBP1	gene	HOM:51875261	HGNC
A4	PLP2	gene	HOM:51875499	HGNC
A4	SGCG	gene	HOM:51882761	HGNC
A4-LSB	PLP2	gene	HOM:51875499	HGNC
A43	POLR1F	gene	HOM:51881726	HGNC
A4GALT	A4GALT	gene	HOM:51886281	HGNC
A4GNT	A4GNT	gene	HOM:51886282	HGNC
A6	TWF1	gene	HOM:51878568	HGNC
A6L	MT-ATP8	gene	HGNC:7415	HGNC
A6PS1	TWF1P1	gene	HGNC:21736	HGNC
A6PS2	TWF1P2	gene	HGNC:21737	HGNC
A6R	TWF2	gene	HOM:51879351	HGNC
A6RP	TWF2	gene	HOM:51879351	HGNC
A7NACHR	CHRNA7	gene	HOM:51872290	HGNC
A8-51	ZNF3	gene	HOM:51890966	HGNC
AA	TEAD1	gene	HOM:51881583	HGNC
AAA1	NPSR1-AS1	gene	HGNC:22128	HGNC
AAAS	AAAS	gene	HOM:51884624	HGNC
AAAT	SLC1A5	gene	HOM:51885482	HGNC
AAC-11	API5	gene	HOM:51870781	HGNC
AAC1	NAT1	gene	HOM:51885249	HGNC
AAC1	SLC25A4	gene	HOM:51873764	HGNC
AAC11	API5	gene	HOM:51870781	HGNC
AAC2	NAT2	gene	HOM:51885249	HGNC
AACP	NATP	gene	HGNC:15	HGNC
AACS	AACS	gene	HOM:51884101	HGNC
AACSL	AACSP1	gene	HGNC:18226	HGNC
AACSP1	AACSP1	gene	HGNC:18226	HGNC
AACT	SERPINA3	gene	HOM:51882244	HGNC
AADAC	AADAC	gene	HOM:51884955	HGNC
AADACL1	NCEH1	gene	HOM:51877956	HGNC
AADACL2	AADACL2	gene	HOM:51886283	HGNC
AADACL2-AS1	AADACL2-AS1	gene	HGNC:50301	HGNC
AADACL3	AADACL3	gene	HOM:51885656	HGNC
AADACL4	AADACL4	gene	HOM:51885660	HGNC
AADACP1	AADACP1	gene	HGNC:50305	HGNC
AADAT	AADAT	gene	HOM:51885983	HGNC
AADC	DDC	gene	HOM:51870860	HGNC
AAED1	PRXL2C	gene	HOM:51870461	HGNC
AAF132	CTC1	gene	HOM:51883479	HGNC
AAG3	SRSF7	gene	HOM:51874203	HGNC
AAGAB	AAGAB	gene	HOM:51882009	HGNC
AAIR8193	APOOL	gene	HOM:51874671	HGNC
AAK1	AAK1	gene	HOM:51870462	HGNC
AAKG	PRKAG2	gene	HOM:51878502	HGNC
AAKG2	PRKAG2	gene	HOM:51878502	HGNC
AAMDC	AAMDC	gene	HOM:51871201	HGNC
AAMP	AAMP	gene	HOM:51884630	HGNC
AANAT	AANAT	gene	HOM:51870463	HGNC
AAP	SERPINF2	gene	HOM:51878975	HGNC
AAP1	RYBP	gene	HOM:51871655	HGNC
AAR2	AAR2	gene	HOM:51877229	HGNC
AARD	AARD	gene	HOM:51870741	HGNC
AARS	AARS1	gene	HOM:51870464	HGNC
AARS1	AARS1	gene	HOM:51870464	HGNC
AARS1P1	AARS1P1	gene	HGNC:49894	HGNC
AARS2	AARS2	gene	HOM:51876988	HGNC
AARSD1	AARSD1	gene	HOM:51877210	HGNC
AARSD1P1	AARSD1P1	gene	HGNC:54994	HGNC
AARSL	AARS2	gene	HOM:51876988	HGNC
AARSP1	AARS1P1	gene	HGNC:49894	HGNC
AASD-PPT	AASDHPPT	gene	HOM:51883310	HGNC
AASDH	AASDH	gene	HOM:51881155	HGNC
AASDH-DT	AASDH-DT	gene	HGNC:58795	HGNC
AASDHPPT	AASDHPPT	gene	HOM:51883310	HGNC
AASDHPPT-AS1	AASDHPPT-AS1	gene	HGNC:58262	HGNC
AASS	AASS	gene	HOM:51885453	HGNC
AAT	SERPINA1	gene	HOM:51871627	HGNC
AAT-1	CFAP91	gene	HOM:51877659	HGNC
AAT1	CFAP91	gene	HOM:51877659	HGNC
AAT1ALPHA	CFAP91	gene	HOM:51877659	HGNC
AATBC	AATBC	gene	HGNC:51526	HGNC
AATF	AATF	gene	HOM:51871469	HGNC
AATK	LMTK1	gene	HOM:51885834	HGNC
AATK-AS1	PVALEF	gene	HGNC:40053	HGNC
AATYK	LMTK1	gene	HOM:51885834	HGNC
AATYK1	LMTK1	gene	HOM:51885834	HGNC
AATYK2	LMTK2	gene	HOM:51888215	HGNC
AATYK3	LMTK3	gene	HOM:51880923	HGNC
AAV	AAVS1	gene	HGNC:22	HGNC
AAVR	KIAA0319L	gene	HOM:51879516	HGNC
AAVS1	AAVS1	gene	HGNC:22	HGNC
AAVS1	PPP1R12C	gene	HOM:51875279	HGNC
AB-DIP	QRICH1	gene	HOM:51875552	HGNC
AB014085.4	HCG19P	gene	HGNC:31336	HGNC
AB023048.2	HCG21	gene	HGNC:31335	HGNC
AB023051.1	HCG20	gene	HGNC:31334	HGNC
AB023060.6	POLR2LP1	gene	HGNC:31340	HGNC
AB073614	CP	gene	HOM:51872222	HGNC
ABAD	HSD17B10	gene	HOM:51876185	HGNC
ABAT	ABAT	gene	HOM:51871954	HGNC
ABBA	MTSS2	gene	HOM:51876470	HGNC
ABBA-1	MTSS2	gene	HOM:51876470	HGNC
ABBP1	HNRNPAB	gene	HOM:51875038	HGNC
ABC-C	ABCA3	gene	HOM:51870470	HGNC
ABC1	ABCA1	gene	HOM:51870467	HGNC
ABC1	HEATR6	gene	HOM:51883929	HGNC
ABC16	ABCB11	gene	HOM:51871165	HGNC
ABC2	ABCA2	gene	HOM:51880826	HGNC
ABC20	ABCB1	gene	HOM:51870474	HGNC
ABC28	ABCF2	gene	HOM:51870480	HGNC
ABC3	ABCA3	gene	HOM:51870470	HGNC
ABC35	CFTR	gene	HOM:51870479	HGNC
ABC36	ABCC8	gene	HOM:51880234	HGNC
ABC50	ABCF1	gene	HOM:51882276	HGNC
ABC7	ABCB7	gene	HOM:51874661	HGNC
ABC8	ABCG1	gene	HOM:51883742	HGNC
ABCA1	ABCA1	gene	HOM:51870467	HGNC
ABCA10	ABCA10	gene	HGNC:30	HGNC
ABCA10P	ABCA11P	gene	HGNC:31	HGNC
ABCA11	ABCA11P	gene	HGNC:31	HGNC
ABCA11P	ABCA11P	gene	HGNC:31	HGNC
